V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
8.948739052,5.365306377,4.247249603,4.43144083,2.293792248,0.886777997,0.391616493,-0.204051495,-0.685535312,-0.481431603,-0.397507817,-0.241954818,-0.585093319,0.236239389,0.440460563,1.084045768,1.006116986,1.4640553,0.820001125,0.789705873,0
5.365306377,8.898241997,4.119876385,5.456406116,2.484686375,3.027053118,2.014707804,0.818867147,1.186312437,0.757384002,1.171464086,1.754069924,0.474028111,1.327586889,2.399810076,1.540076852,0.793311656,0.819622755,0.829476058,0.609698713,0
4.247249603,4.119876385,6.340412617,4.511851788,0.771377623,1.393306613,0.19692488,-0.474583685,-0.312238932,-0.901257694,-1.250564098,-0.896954834,-1.428545594,-1.828328609,-0.455581158,-1.130071044,-1.442553401,-1.655869603,-1.261461616,-1.540035486,0
4.43144083,5.456406116,4.511851788,8.314646721,1.904687643,2.690531254,1.682364225,1.000959039,0.791403472,0.138833404,-0.084017947,1.135832906,0.161205754,0.490267634,1.129856229,0.274204463,0.289212495,-0.38071698,0.648059726,0.850370944,0
2.293792248,2.484686375,0.771377623,1.904687643,5.457300663,1.496710896,2.188191652,1.550388098,2.36307621,0.667998731,1.426743865,1.218990684,0.531183302,1.579197645,1.461274743,1.311068773,1.792654395,1.557830215,0.647772133,1.327121973,0
0.886777997,3.027053118,1.393306613,2.690531254,1.496710896,6.912408352,4.211400986,2.785611868,4.060772896,3.395507097,3.418382883,3.627978325,2.962412119,2.647464275,4.34340477,2.790762901,3.002355337,2.614177942,2.77665472,3.322302341,0
0.391616493,2.014707804,0.19692488,1.682364225,2.188191652,4.211400986,7.335847378,4.106389046,5.351931572,4.737618923,4.620528221,4.319087505,3.631877184,4.337566853,5.52894783,4.300930977,4.760315895,3.742206573,3.666594505,3.988963842,0
-0.204051495,0.818867147,-0.474583685,1.000959039,1.550388098,2.785611868,4.106389046,7.374970913,6.605328083,5.378128052,6.702480793,5.250079632,5.02520895,6.098461628,6.893605709,5.543651581,5.857288361,5.292815208,4.593295574,5.012861729,0
-0.685535312,1.186312437,-0.312238932,0.791403472,2.36307621,4.060772896,5.351931572,6.605328083,10.77120209,7.21888876,7.881177902,6.565844536,6.431326866,6.940504551,9.012133598,7.630155563,7.843845367,6.838549137,5.944708347,6.862089634,0
-0.481431603,0.757384002,-0.901257694,0.138833404,0.667998731,3.395507097,4.737618923,5.378128052,7.21888876,10.25122261,8.284710884,7.925427914,8.653197289,9.800536156,10.80657768,10.16864109,10.28122807,10.32121181,9.503887177,11.07466125,0
-0.397507817,1.171464086,-1.250564098,-0.084017947,1.426743865,3.418382883,4.620528221,6.702480793,7.881177902,8.284710884,12.02005768,9.540132523,9.809120178,11.26887226,12.93640709,11.84982204,11.6394701,11.3972826,10.69045544,11.24333763,0
-0.241954818,1.754069924,-0.896954834,1.135832906,1.218990684,3.627978325,4.319087505,5.250079632,6.565844536,7.925427914,9.540132523,11.63115978,10.438797,11.84391022,13.05646229,12.00887394,12.79146481,12.67913532,12.3090229,12.93480206,0
-0.585093319,0.474028111,-1.428545594,0.161205754,0.531183302,2.962412119,3.631877184,5.02520895,6.431326866,8.653197289,9.809120178,10.438797,13.51698303,13.72241974,15.03492641,14.89400673,15.73242283,16.33898735,15.55218601,16.8874054,0
0.236239389,1.327586889,-1.828328609,0.490267634,1.579197645,2.647464275,4.337566853,6.098461628,6.940504551,9.800536156,11.26887226,11.84391022,13.72241974,17.33174133,17.20144463,16.69736099,18.1230011,18.07605743,17.37791061,18.59398651,0
0.440460563,2.399810076,-0.455581158,1.129856229,1.461274743,4.34340477,5.52894783,6.893605709,9.012133598,10.80657768,12.93640709,13.05646229,15.03492641,17.20144463,22.10285378,19.95338631,21.18848228,20.22267723,19.15592766,20.23356247,0
1.084045768,1.540076852,-1.130071044,0.274204463,1.311068773,2.790762901,4.300930977,5.543651581,7.630155563,10.16864109,11.84982204,12.00887394,14.89400673,16.69736099,19.95338631,22.17889023,22.14788818,22.4472065,20.99337769,22.45436096,0
1.006116986,0.793311656,-1.442553401,0.289212495,1.792654395,3.002355337,4.760315895,5.857288361,7.843845367,10.28122807,11.6394701,12.79146481,15.73242283,18.1230011,21.18848228,22.14788818,25.87281036,24.90556908,23.83272362,25.48338318,0
1.4640553,0.819622755,-1.655869603,-0.38071698,1.557830215,2.614177942,3.742206573,5.292815208,6.838549137,10.32121181,11.3972826,12.67913532,16.33898735,18.07605743,20.22267723,22.4472065,24.90556908,28.03933525,25.66204262,27.44362831,0
0.820001125,0.829476058,-1.261461616,0.648059726,0.647772133,2.77665472,3.666594505,4.593295574,5.944708347,9.503887177,10.69045544,12.3090229,15.55218601,17.37791061,19.15592766,20.99337769,23.83272362,25.66204262,27.09682846,27.12181664,0
0.789705873,0.609698713,-1.540035486,0.850370944,1.327121973,3.322302341,3.988963842,5.012861729,6.862089634,11.07466125,11.24333763,12.93480206,16.8874054,18.59398651,20.23356247,22.45436096,25.48338318,27.44362831,27.12181664,30.87335205,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
